Abbreviation,Number,Full Title,Raw Credits,Min Credits,Max Credits,Has Credit Range,Gen-Eds,Full Description
MASC,190,Special Topics in Marine Sciences,3.0,3.0,3.0,False,[],"An undergraduate seminar course that is designed to be a participatory intellectual adventure on an advanced, emergent, and stimulating topic within a selected discipline in marine sciences. Grading status: Letter grade. "
MASC,220,North Carolina Estuaries: Environmental Processes and Problems,3.0,3.0,3.0,False,"['PX', 'EE- Field Work']","Natural processes and human impacts on estuarine systems using the Neuse River estuary as a case study. Course includes one week of intensive field work based at the Institute of Marine Sciences. A student may not receive credit for this course after receiving credit for ENEC 222. Gen Ed: PX, EE- Field Work. Grading status: Letter grade. Same as: ENEC 220. "
MASC,223,Geology of Beaches and Coasts,3.0,3.0,3.0,False,[],"Required preparation, one introductory geology course numbered below GEOL 202, except first-year seminar. Introduction to coastal processes, including waves, tidal currents, tectonics, climate, and human activity, and their influence on barrier islands, beaches, dunes, marshes, and estuaries. Involves a field trip to the Outer Banks of North Carolina. Grading status: Letter grade. Same as: GEOL 223. "
MASC,310,"Our Changing Planet: Science, Social Impacts, Solutions",3.0,3.0,3.0,False,['PL'],"An overview of the scientific basis for global warming, current and future impacts on society, options for mitigation and adaptation, and the role of politics and the media. Gen Ed: PL. Grading status: Letter grade. "
MASC,312,From the Equator to the Poles: Case Studies in Global Environmental Change,3.0,3.0,3.0,False,"['SS', 'GL']","Case studies in environmental change, highlighting human and environmental dynamics in terrestrial and marine ecosystems on multiple spatial and temporal scales. Includes active-learning modules, group presentations, writing assignments. Gen Ed: SS, GL. Grading status: Letter grade. "
MASC,314,Earth Systems in a Changing World,3.0,3.0,3.0,False,[],"This course presents an integrated view of our planet, how it evolved during the past, why it has changed (and continues to change), and what makes Earth a habitable planet. Grading status: Letter grade. "
MASC,316,Coastal Environmental Change,3.0,3.0,3.0,False,[],"An exploration of the large-scale evolution of coastal environments, including relevance of geologic setting, wave and sediment transport processes, the evolution of beach and barrier island morphology, and issues of coastal environmental management. Requisites: Prerequisite, GEOL 101 or MASC 101 or MASC 401; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. Same as: GEOL 310, ENEC 310. "
MASC,352,Marine Fisheries Ecology,3.0,3.0,3.0,False,[],"Gives students a foundation in population biology and the ecological processes that influence populations of economically important fish and shellfish. Students will gain practical quantitative skills including statistical analyses, model development, and data visualization. Familiarity with introductory statistics concepts is preferred but not necessary. Requisites: Prerequisite, MASC 101, 401, or ENEC 202. Grading status: Letter grade. Same as: ENEC 352. "
MASC,390,Special Topics in Marine Sciences (for Undergraduates),14.0,1.0,4.0,True,[],Special topics in marine sciences for undergraduate students. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 12 total credits. 3 total completions. Grading status: Letter grade. 
MASC,395,Undergraduate Research in Marine Sciences,13.0,1.0,3.0,True,['EE- Mentored Research'],Permission of a faculty research director. Directed readings with laboratory study on a selected topic. Gen Ed: EE- Mentored Research. Repeat rules: May be repeated for credit. 8 total credits. 4 total completions. Grading status: Letter grade. 
MASC,396,Independent Study in Marine Sciences,3.0,3.0,3.0,False,[],Permission of the instructor. Directed readings on a selected topic. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions. Grading status: Letter grade. 
MASC,401,Oceanography,3.0,3.0,3.0,False,[],"Required preparation, major in a natural science or two courses in natural sciences. Studies origin of ocean basins, seawater chemistry and dynamics, biological communities, sedimentary record, and oceanographic history. Term paper. Students lacking science background should see MASC 101. Students may not receive credit for both MASC 101 and MASC 401. Grading status: Letter grade. Same as: BIOL 350, ENVR 417, GEOL 403. "
MASC,410,Earth Processes in Environmental Systems,4.0,4.0,4.0,False,[],"Principles of geological and related Earth systems sciences are applied to analyses of environmental phenomena. The link between the lithosphere and other environmental compartments is explored through case studies of environmental issues. Three lecture hours and one laboratory hour a week. Requisites: Prerequisites, CHEM 102, GEOL 200, MATH 231, and PHYS 115 or 119; permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. Same as: ENEC 410, GEOL 410. "
MASC,411,Oceanic Processes in Environmental Systems,4.0,4.0,4.0,False,[],"Principles of analysis of the ocean, coast, and estuarine environments and the processes that control these environments are applied to the analysis of environmental phenomena. Case studies of environmental issues. Three lecture hours and one laboratory hour a week. Requisites: Prerequisites, BIOL 101, CHEM 102, ENEC 222, MATH 231, PHYS 115 or 119; permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. Same as: ENEC 411, GEOL 411. "
MASC,415,Environmental Systems Modeling,3.0,3.0,3.0,False,[],"This course explores principles and strategies for studying environmental phenomena, and presents methods for developing explanatory and predictive models of environmental systems, e. g. , predator-prey, estuaries, greenhouse gases, and ecosystem material cycles. Requisites: Prerequisite, MATH 383; pre- or corequisite, PHYS 115 or 118, and COMP 116. Grading status: Letter grade. Same as: ENEC 415, GEOL 415. "
MASC,432,Major World Rivers and Global Change: From Mountains to the Sea,3.0,3.0,3.0,False,[],"What are the linkages between rivers and global change? This course examines the hydrological, geological and biogeochemical processes that control material flux from land to the oceans via rivers. Grading status: Letter grade. "
MASC,433,Wetland Hydrology,3.0,3.0,3.0,False,[],"Study of wetland ecosystems with particular emphasis on hydrological functioning, the transition from terrestrial to aquatic systems, wetlands as filtration systems, and exchange between wetlands and other environments. Grading status: Letter grade. Same as: ENEC 433. "
MASC,434,Blue Carbon and Coastal Environments,3.0,3.0,3.0,False,[],"Permission of the instructor is required. Readings and discussions about processes in traditional ""Blue Carbon"" environments (marshes, sea grass beds, and mangroves) and an exploration of carbon burial in other coastal ecosystems such as floodplains and oyster reefs. Grading status: Letter grade. "
MASC,440,Marine Ecology,3.0,3.0,3.0,False,['PL'],"Survey of the ecological processes that structure marine communities in a range of coastal habitats. Course emphasizes experimental approaches to addressing basic and applied problems in marine systems. Requisites: Prerequisite, BIOL 201 or 475. Gen Ed: PL. Grading status: Letter grade. Same as: BIOL 462. "
MASC,441,Marine Physiological Ecology,3.0,3.0,3.0,False,[],"This course introduces students to the physiological, morphological, and behavioral factors employed by marine organisms to cope with their physical environment. Emphasis will be placed on the response of marine organisms to environmental factors such as seawater temperature, light, water salinity, ocean acidification, etc. Grading status: Letter grade. Same as: ENEC 441. "
MASC,442,Marine Biology,3.0,3.0,3.0,False,['PL'],"Recommended preparation, BIOL 201 or 475. A survey of plants and animals that live in the sea: characteristics of marine habitats, organisms, and the ecosystems will be emphasized. Marine environment, the organisms involved, and the ecological systems that sustain them. Gen Ed: PL. Grading status: Letter grade. Same as: BIOL 457. "
MASC,443,Marine Microbiology,3.0,3.0,3.0,False,['PL'],"Restricted to junior or senior science majors or graduate students, with permission of the instructor. Seminar class focuses on the primary research literature. Physiology of marine microorganisms, microbial diversity and ecology of the marine environment, biogeochemical processes catalyzed by marine microorganisms. Gen Ed: PL. Grading status: Letter grade. "
MASC,444,Marine Phytoplankton,3.0,3.0,3.0,False,[],"Permission of the instructor. For junior and senior science majors or graduate students. Biology of marine photosynthetic protists and cyanobacteria. Phytoplankton evolution, biodiversity, structure, function, biogeochemical cycles and genomics. Harmful algal blooms, commercial products, and climate change. Three lecture/practical session hours per week. Grading status: Letter grade. Same as: ENEC 444, BIOL 456. "
MASC,445,Marine Invertebrate Biology,4.0,4.0,4.0,False,[],See BIOL 475 for description. Grading status: Letter grade. 
MASC,446,Marine Microbial Symbioses: Exploring How Microbial Interactions Affect Ecosystems and Human Health,3.0,3.0,3.0,False,['PL'],"Course material covers host-microbe and microbe-microbe interactions found in marine ecosystems, including beneficial and parasitic relationships among viruses, microbes, marine animals, and humans. Limited to upper-level undergraduate science majors and graduate students. Gen Ed: PL. Grading status: Letter grade. Same as: BIOL 452. "
MASC,447,Microbial Ecological Genomics,3.0,3.0,3.0,False,['PL'],"Permission of the instructor. For junior and senior science majors and graduate students. Active learning class focused on sequencing and bioinformatic analysis of microbial genomes to identify their ecological function. Topics include sequencing technologies, genome assembly and analysis, command line, bioinformatic tools, and genes mediating microbial physiology and metabolism in natural ecosystems. Gen Ed: PL. Grading status: Letter grade. "
MASC,448,Coastal and Estuarine Ecology,4.0,4.0,4.0,False,[],"A field-intensive study of the ecology of marine organisms and their interactions with their environment, including commercially important organisms. Laboratory/recitation/field work is included and contributes two credit hours to the course. Requisites: Prerequisites, CHEM 102 and MATH 231. Grading status: Letter grade. Same as: ENEC 448. "
MASC,450,Biogeochemical Processes,4.0,4.0,4.0,False,['PL'],"Principles of chemistry, biology, and geology are applied to analysis of the fate and transport of materials in environmental systems, with an emphasis on those materials that form the most significant cycles. Three lecture hours and one laboratory hour a week. Requisites: Prerequisites, MATH 231, and PHYS 114 or 118; permission of the instructor for students lacking the prerequisites. Gen Ed: PL. Grading status: Letter grade. Same as: ENEC 450, GEOL 450. "
MASC,455,Geochemistry,3.0,3.0,3.0,False,['QI'],"Required preparation, one introductory geology course. Introduction to the application of chemical principles to geological problems. Topics include thermodynamics, kinetics, and isotope geochemistry. Previously offered as GEOL 512/MASC 553. Requisites: Prerequisites, CHEM 102 and MATH 231; permission of the instructor for students lacking the prerequisites. Gen Ed: QI. Grading status: Letter grade. Same as: GEOL 405. "
MASC,460,Fluid Dynamics of the Environment,3.0,3.0,3.0,False,['QI'],"Principles and applications of fluid dynamics to flows of air and water in the natural environment. Conservation of momentum, mass, and energy applied to lakes, rivers, estuaries, and the coastal ocean. Dimensional analysis and scaling emphasized to promote problem-solving skills. Requisites: Prerequisite, MATH 232; permission of the instructor for students lacking the prerequisite. Gen Ed: QI. Grading status: Letter grade. "
MASC,470,Estuarine and Coastal Marine Science,4.0,4.0,4.0,False,"['PL', 'QI']","For graduate students; undergraduate students should take ENEC 222 or have permission of the instructor. Introduction to estuarine environments: geomorphology, physical circulation, nutrient loading, primary and secondary production, carbon and nitrogen cycling, benthic processes and sedimentation. Considers human impacts on coastal systems, emphasizing North Carolina estuaries. Gen Ed: PL, QI. Grading status: Letter grade. "
MASC,471,Human Impacts on Estuarine Ecosystems,4.0,4.0,4.0,False,['EE- Field Work'],"A cohesive examination of the human impacts on biological processes in estuarine ecosystems. Laboratory/recitation/field work is included and contributes two credit hours to the course. Taught at off-campus field station. Requisites: Prerequisites, CHEM 102 and MATH 231. Gen Ed: EE- Field Work. Grading status: Letter grade. Same as: ENEC 471. "
MASC,472,Barrier Island Ecology and Geology,6.0,6.0,6.0,False,"['PL', 'EE- Field Work']","Recommended preparation, one introductory geology course. An integration of barrier island plant and animal ecology within the context of physical processes and geomorphological change. Emphasis on management and impact of human interference with natural processes. Gen Ed: PL, EE- Field Work. Grading status: Letter grade. "
MASC,473,The Changing Coasts of Carolina,3.0,3.0,3.0,False,"['CI', 'EE- Field Work']","A rigorous combination of field work, lab work, and colorful, original contemporary writing on the natural world will help tell the story of our many, evolving North Carolina coasts. Combining marine science and the creative literary arts, this immersive course will explore issues of change over many eras. This combination of social, cultural, and scientific observation will lead to imaginatively constructed, well-written non-fiction reportage about one of North America's most productive, compelling, and challenging regions. Gen Ed: CI, EE- Field Work. Grading status: Letter grade. Same as: ENGL 473. "
MASC,480,Modeling of Marine and Earth Systems,13.0,1.0,3.0,True,[],"Mathematical modeling of dynamic systems, linear and nonlinear. The fundamental budget equation. Case studies in modeling transport, biogeochemical processes, population dynamics. Analytical and numerical techniques; chaos theory; fractal geometry. Requisites: Prerequisite, MATH 232; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. Same as: GEOL 480, ENVR 480. "
MASC,483,Geologic and Oceanographic Applications of Geographical Information Systems,4.0,4.0,4.0,False,[],"Required preparation, four GEOL courses or permission of the instructor. Focus is on applying GIS concepts and techniques to mining and petroleum geology, resource assessment, hydrogeology, coastal and marine geology, physical oceanography, engineering geology, and a geologic perspective on land use. Three lecture and two laboratory hours a week. Grading status: Letter grade. Same as: GEOL 483. "
MASC,490,Special Topics in Marine Sciences for Undergraduates and Graduates,13.0,1.0,3.0,True,[],"Directed readings, laboratory, and/or field study of marine science topics not covered in scheduled courses. Repeat rules: May be repeated for credit. 12 total credits. 4 total completions. Grading status: Letter grade. "
MASC,503,Marine Geology,4.0,4.0,4.0,False,['PL'],"For graduate students; undergraduates need permission of the instructor. Investigates formation of the oceans, plate tectonics, carbonate reefs and platforms, sediment transport from the land to deep-sea fans, glacial-marine geology, marine records of changes in sea level and climate, and the evolution of barrier islands, estuaries, and deltas. Mandatory weekend field trip to the Southern Outer Banks. Gen Ed: PL. Grading status: Letter grade. Same as: GEOL 503. "
MASC,504,Biological Oceanography,4.0,4.0,4.0,False,['PL'],"For graduate students; undergraduates need permission of the instructor. Marine ecosystem processes pertaining to the structure, function, and ecological interactions of biological communities; management of biological resources; taxonomy and natural history of pelagic and benthic marine organisms. Three lecture and one recitation hours per week. Two mandatory weekend fieldtrips. Gen Ed: PL. Grading status: Letter grade. Same as: BIOL 657, ENVR 520. "
MASC,505,Chemical Oceanography,4.0,4.0,4.0,False,['PL'],"Graduate students only; undergraduates must have permission of the instructor. Overview of chemical processes in the ocean. Topics include physical chemistry of seawater, major element cycles, hydrothermal vents, geochemical tracers, air-sea gas exchange, particle transport, sedimentary processes, and marine organic geochemistry. Three lecture and two recitation hours per week. Gen Ed: PL. Grading status: Letter grade. Same as: ENVR 505, GEOL 505. "
MASC,506,Physical Oceanography,4.0,4.0,4.0,False,['PL'],"For graduate students; undergraduates need permission of the instructor. Descriptive oceanography, large-scale wind-driven and thermohaline circulations, ocean dynamics, regional and nearshore/estuarine physical processes, waves, tides. Three lecture and one recitation hour per week. Gen Ed: PL. Grading status: Letter grade. Same as: GEOL 506. "
MASC,550,Biogeochemical Cycling,3.0,3.0,3.0,False,"['PL', 'CI']","Biogeochemical cycling explores interfaces of marine, aquatic, atmospheric, and geological sciences emphasizing processes controlling chemical distributions in sediments, fresh and salt water, the atmosphere, and fluxes among these reservoirs. Requisites: Prerequisites, ENVR 421; GEOL 405, 436, 655; MASC 440, 505; or permission of the instructor. Gen Ed: PL, CI. Grading status: Letter grade. Same as: GEOL 550. "
MASC,552,Organic Geochemistry,3.0,3.0,3.0,False,['PL'],"Recommended preparation, CHEM 261 or MASC 505, and one additional ENVR, GEOL, or MASC course above 400. Sources, transformations, and fate of natural organic matter in marine environments. Emphasis on interplay of chemical, biological, and physical processes that affect organic matter composition, distribution, and turnover. Gen Ed: PL. Grading status: Letter grade. Same as: GEOL 552, ENVR 552. "
MASC,560,Fluid Dynamics,3.0,3.0,3.0,False,[],"The physical properties of fluids, kinematics, governing equations, viscous incompressible flow, vorticity dynamics, boundary layers, irrotational incompressible flow. Requisites: Prerequisite, PHYS 401; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. Same as: ENVR 452, GEOL 560, PHYS 660. "
MASC,561,Time Series and Spatial Data Analysis,3.0,3.0,3.0,False,"['PL', 'QI']","Three components: statistics and probability, time series analysis, and spatial data analysis. Harmonic analysis, nonparametric spectral estimation, filtering, objective analysis, empirical orthogonal functions. Requisites: Prerequisite, MATH 233; permission of the instructor for students lacking the prerequisite. Gen Ed: PL, QI. Grading status: Letter grade. "
MASC,562,Turbulent Boundary Layers,3.0,3.0,3.0,False,"['PL', 'QI']","Turbulence and transport in near-bottom boundary regions. Turbulence and mixing theory in boundary layers. Field deployment and recovery of turbulence measuring instruments. Data analysis from turbulence measurements. Requisites: Prerequisite, MASC 506 or 560; permission of the instructor for students lacking the prerequisite. Gen Ed: PL, QI. Grading status: Letter grade. "
MASC,563,Descriptive Physical Oceanography,3.0,3.0,3.0,False,['PL'],"Observed structure of the large-scale and mesoscale ocean circulation and its variability, based on modern observations. In-situ and remote sensing techniques, hydrographic structure, circulation patterns, ocean-atmosphere interactions. Requisites: Prerequisite, MASC 506; permission of the instructor for students lacking the prerequisite. Gen Ed: PL. Grading status: Letter grade. Same as: GEOL 563. "
MASC,705,How to Give a Seminar,1.0,1.0,1.0,False,[],"Discussion of methods and strategies for giving effective technical presentations. Topics will include seminar structure, use of visual aids, personal and professional presentation, and responding to questions. Grading status: Letter grade. "
MASC,706,Student Interdisciplinary Seminar,1.0,1.0,1.0,False,[],"Marine Sciences graduate students will prepare and present a seminar on an interdisciplinary topic from contemporary research in marine systems. Requisites: Prerequisite, MASC 705. Grading status: Letter grade. "
MASC,730,Advanced Coastal Environmental Change,3.0,3.0,3.0,False,[],"Focuses on biological-physical couplings that shape coastal environments (i. e. coastal 'ecomorphodynamics') and determine how these environments change with climate and land use. Environments include: barrier islands, open ocean coastlines, and tidal wetlands. Grading based on presentations, participation, and a research proposal. Requisites: Prerequisites, GEOL 417, 502, or 503; permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. Same as: GEOL 710, ENEC 710. "
MASC,741,Seminar in Marine Biology,2.0,2.0,2.0,False,[],"Discussion of selected literature in the field of marine biology, ecology, and evolution. Grading status: Letter grade. "
MASC,742,Molecular Population Biology,4.0,4.0,4.0,False,[],"Hands-on training, experience, and discussion of the application of molecular genetic tools to questions of ecology, evolution, systematics, and conservation. Requisites: Prerequisite, BIOL 471; Permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. Same as: BIOL 758. "
MASC,750,Modeling Diagenetic Processes,3.0,3.0,3.0,False,[],"An introduction to the theory and application of modeling biogeochemical processes in sediments. Diagenetic theory, numerical techniques, and examples of recently developed sediment models. Three lecture hours a week. Requisites: Prerequisite, MASC 480; Permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
MASC,761,Geophysical Fluid Dynamics,3.0,3.0,3.0,False,[],"Momentum equations in a rotating reference frame, vorticity, potential vorticity, circulation, the shallow water model, Rossby and Kelvin waves, the Ekman layer. Three lecture hours a week. Requisites: Prerequisite, MASC 560 or MATH 528; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
MASC,762,Ocean Circulation Theory,3.0,3.0,3.0,False,[],"Theories, models of large-scale dynamics of ocean circulation. Potential vorticity, quasi-geostrophy, instabilities. Requisites: Prerequisite, MASC 506 or 560, or MATH 529; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
MASC,763,Coastal Circulation,3.0,3.0,3.0,False,[],"Dynamics of the coastal ocean. Shallow water equations, boundary layer and long wave theory, wind driven circulation, fronts, estuaries. Requisites: Prerequisite, MASC 506 or 560, or MATH 529; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
MASC,764,Ocean Circulation Modeling,3.0,3.0,3.0,False,[],"Computational methods used in modeling oceanic circulation. Numerical solution of equations governing mass, momentum, and energy equations. Requisites: Prerequisite, MASC 506 or MATH 529; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
MASC,765,Small-Scale Physics of the Ocean,3.0,3.0,3.0,False,[],"Physics of sub-mesoscale processes in the ocean. Nonequilibrium thermodynamics. Air-sea interaction. Mixing in the ocean boundary layer, convection, double diffusion. Near-inertial and high frequency internal waves. Three lecture hours a week. Requisites: Prerequisites, MASC 506 and 560. Grading status: Letter grade. "
MASC,781,"Numerical ODE/PDE, I",3.0,3.0,3.0,False,[],"Single, multistep methods for ODEs: stability regions, the root condition; stiff systems, backward difference formulas; two-point BVPs; stability theory; finite difference methods for linear advection diffusion equations. Requisites: Prerequisites, MATH 661 and 662. Grading status: Letter grade. Same as: MATH 761, ENVR 761. "
MASC,782,"Numerical ODE/PDE, II",3.0,3.0,3.0,False,[],"Elliptic equation methods (finite differences, elements, integral equations); hyperbolic conservation law methods (Lax-Fiedrich, characteristics, entropy condition, shock tracking/capturing); spectral, pseudo-spectral methods; particle methods, fast summation, fast multipole/vortex methods. Requisites: Prerequisite, MATH 761. Grading status: Letter grade. Same as: MATH 762, ENVR 762. "
MASC,783,Mathematical Modeling I,3.0,3.0,3.0,False,[],"Nondimensionalization and identification of leading order physical effects with respect to relevant scales and phenomena; derivation of classical models of fluid mechanics (lubrication, slender filament, thin films, Stokes flow); derivation of weakly nonlinear envelope equations. Fall. Requisites: Prerequisites, MATH 661, 662, 668, and 669. Grading status: Letter grade. Same as: MATH 768, ENVR 763. "
MASC,784,Mathematical Modeling II,3.0,3.0,3.0,False,[],"Current models in science and technology: topics ranging from material science applications (e. g. , flow of polymers and LCPs); geophysical applications (e. g. , ocean circulation, quasi-geostrophic models, atmospheric vortices). Requisites: Prerequisites, MATH 661, 662, 668, and 669. Grading status: Letter grade. Same as: MATH 769, ENVR 764. "
MASC,799,Experimental Graduate,19.0,1.0,9.0,True,[],Experimental graduate level courses as offered by the Department. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 1 total completions. Grading status: Letter grade. 
MASC,893,Special Topics in Marine Geology,19.0,1.0,9.0,True,[],Special topics courses in Marine Geology as offered by Department. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 1 total completions. Grading status: Letter grade. 
MASC,894,Special Topics in Biological Oceanography,19.0,1.0,9.0,True,[],Special topics courses in Biological Oceanography as offered by Department. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 1 total completions. Grading status: Letter grade. 
MASC,895,Special Topics in Physical Oceanography,19.0,1.0,9.0,True,[],Special topics courses in Physical Oceanography as offered by Department. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 1 total completions. Grading status: Letter grade. 
MASC,896,Special Topics in Chemical Oceanography,19.0,1.0,9.0,True,[],Special topics courses in Chemical Oceanography as offered by Department. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 1 total completions. Grading status: Letter grade. 
MASC,897,Special Topics in Marine Sciences,19.0,1.0,9.0,True,[],Special topics courses in Marine Sciences as offered by Department. Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 1 total completions. Grading status: Letter grade. 
MASC,940,Research in Marine Sciences,221.0,2.0,21.0,True,[],
MASC,993,Master's Research and Thesis,3.0,3.0,3.0,False,[],
MASC,994,Doctoral Research and Dissertation,3.0,3.0,3.0,False,[],

MTSC,615,Structure of Solids,3.0,3.0,3.0,False,[],"Crystallography, reciprocal lattices, Bloch waves, band structure, electronic wave functions, phonons, thermal expansion. Superlattice structures, including liquid crystals. Overview of properties of ceramic, amorphous, polymeric, and composite materials. Grading status: Letter grade. "
MTSC,710,Seminar in Materials Science and Engineering,1.0,1.0,1.0,False,[],"Students will discuss topics concerning contemporary materials science and engineering and will learn skills and knowledge required to be successful graduate students. The seminars will include workshops presented by invited speakers and research presentations by first- and second-year PhD students. Students are expected to read publications and/or assigned materials, be prepared to present their findings, and participate in class discussion. Course previously offered as APPL 710. Grading status: Letter grade. "
MTSC,715,Visualization in the Sciences,3.0,3.0,3.0,False,[],"Computational visualization applied in the natural sciences. For both computer science and natural science students. Available techniques and their characteristics, based on human perception, using software visualization toolkits. Project course. Grading status: Letter grade. Same as: COMP 715, PHYS 715. "
MTSC,720,Materials Fabrication,3.0,3.0,3.0,False,[],"Permission of the department. Introduction to materials fabrication and characterization techniques. Includes single crystal growth, thin film deposition, synthesis of quantum dots and nanotubes/nanowires, dielectric and electron emissive materials, nanocomposites, bioceramics, and energy storage materials. Grading status: Letter grade. "
MTSC,730,Statistical Thermodynamics,3.0,3.0,3.0,False,[],"Permission of the instructor. Theory of ensembles and interactions in statistical mechanics. Classical and quantum statistics. Applications to simple systems: ideal gas, heat capacity of solids, blackbody radiation, phase transitions. Grading status: Letter grade. "
MTSC,735,Techniques in Materials Science,3.0,3.0,3.0,False,[],"Permission of the department. Lecture and laboratory in materials analysis techniques, including microscopy, X-ray diffraction and fluorescence, magnetic resonance, thermal analysis, XPS, channeling and RBS, mechanical properties, optical spectroscopy. Repeat rules: May be repeated for credit. Grading status: Letter grade. "
MTSC,740,Advanced Biomaterials,3.0,3.0,3.0,False,[],"Medical or dental implants or explants are highlighted from textbooks, scientific literature, and personal accounts. Requisites: Prerequisite, BMME 510; Permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. Same as: BMME 740. "
MTSC,745,Chemistry of Biomaterials,3.0,3.0,3.0,False,[],"Focuses on the chemistry and chemical structure-function relationships of soft synthetic biological materials. Topics include chemistry of proteins, peptides, nucleic acids, polysaccharides and lipids, and their incorporation into biomaterials and biosensors; enzymatic reactions; chemical modification of organic and inorganic surfaces using self-assembled monolayer chemistries, bioconjugation chemistries, synthesis of nanoparticles and their application as sensors, application of biological materials for logic operations, fundamentals of supramolecular chemistry. Grading status: Letter grade. "
MTSC,750,"Kinetics, Diffusion, and Phase Transitions of Materials",3.0,3.0,3.0,False,[],"Reaction kinetics in bulk materials. Mass transport, microstructural transformations, and phase transitions in condensed phases. Atom diffusion in solids. Spinodal decomposition. Grading status: Letter grade. "
MTSC,755,Polymer Processing and Properties,3.0,3.0,3.0,False,[],"How does one process ultrahigh molecular weight polyethylene into ultra-strong fibers or how would you design a polymer shape-memory actuator? Polymer chemistry is important but equally important is the way how polymers are processed. In this course we will discuss the relationship between polymer chemistry, processing and the final, after processing, properties. We will discuss different processing methods that are currently in use) and which parameters play a role in controlling the final properties. Grading status: Letter grade. "
MTSC,760,Complex Fluids: Theory and Applications,3.0,3.0,3.0,False,[],"Complex fluids are materials we encounter everyday such as pastes, gels, foams, blood, and tissue, yet ones that cannot be categorized within the traditional three states of matter (solid/gas/liquid). In this course, we introduce the main physical and mathematical concepts of the continuum mechanics of complex fluids and follow with microscopic approaches. The course is designed to focus on both theory and applications with hands-on activities and examples. Grading status: Letter grade. "
MTSC,765,Electronic Materials and Devices - Organic and Inorganic,3.0,3.0,3.0,False,[],"The course introduces the electronic and optical processes in organic molecules and polymers that govern the behavior of practical organic optoelectronic devices. The course begins with an overview of fundamental science of electronic materials and devices. We then discuss their optoelectronic properties of organic molecules, including topics from photophysics, charge transport and injection. Emphasis will be equally placed on the use of both inorganic and organic electronic materials in organic electronic devices. Grading status: Letter grade. "
MTSC,780,Advanced Materials Science,3.0,3.0,3.0,False,[],"This course covers the physical fundamentals of material science with an in-depth discussion of structure formation in soft and hard materials and how structure determines material mechanical, electrical, thermal, and optical properties. Topics include amorphous and crystal structures, defects, dislocation theory, thermodynamics and phase diagrams, diffusion, interfaces and microstructures, solidification, and theory of phase transformation. Special emphasis will be on the structure-property relationships of (bio)polymers, (nano)composites, and their structure property relationships. Grading status: Letter grade. Same as: BMME 780, CHEM 780, PHYS 780. "
MTSC,785,Introduction to Scientific Computing for Materials,3.0,3.0,3.0,False,[],"An introduction to scientific computing key concepts and applying these concepts to solve problems, focusing on materials science and engineering. An overview of the mathematics basis of each numerical technique is followed with computer programming during and outside of class to apply those techniques. The course will require a final project to understand application software commonly used in materials science and engineering, including molecular dynamics (MD) software and in continuum modeling software. Grading status: Letter grade. "
MTSC,810,Device Physics and Electronic Properties of Solids,3.0,3.0,3.0,False,[],"Survey of crystal structure, bandstructure, transport. Overview of FETs, heterostructures, light emission, dissipation, noise, integrated circuits, solar cells, and ceramics. Emphasis on physical sources of device behavior. Requisites: Prerequisites, APPL 470 or PHYS 573, MTSC 615, and 730; permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. "
MTSC,820,Optical Properties of Solids,3.0,3.0,3.0,False,[],"Reflection, waveguides, nonlinear optics, optical switching, photorefraction, optical storage. Optical coupling to electronic states, device applications, optical computing. Requisites: Prerequisites, APPL 470 or PHYS 573, and PHYS 415; permission of the instructor for students lacking the prerequisites. Grading status: Letter grade. "
MTSC,830,Ion-Solid Interactions,3.0,3.0,3.0,False,[],"Interatomic potentials, range distribution, radiation damage, annealing, secondary defects, analytical techniques, silicon-based devices, implantation in compound semiconductors, and buried layer synthesis. Ion implantation in metals, ceramics, polymers, and biomaterials. Requisites: Prerequisite, APPL 470 or PHYS 573; permission of the instructor for students lacking the prerequisite. Grading status: Letter grade. "
